mode,load,0_densenet201-2,1_densenet201-8,2_squeezenet1_0-16
mps-uncap,0.8,25.50065517425537,27.31919288635254,4.135370254516602
mps-uncap,0.9,25.415420532226562,23.828744888305664,4.414558410644531
mps-uncap,1.0,25.815725326538086,23.937225341796875,4.479885101318359
mps-uncap,0.5,22.252559661865234,21.65043354034424,4.458189010620117
mps-uncap,0.6,21.599769592285156,23.16868305206299,4.297018051147461
mps-uncap,0.7,21.552562713623047,25.345921516418457,4.330635070800781
mps-uncap,0.1,23.369550704956055,23.573875427246094,4.45401668548584
mps-uncap,0.2,22.545814514160156,22.328734397888184,4.334211349487305
mps-uncap,0.3,21.66759967803955,22.606253623962402,4.388332366943359
mps-uncap,0.4,21.791934967041016,22.430896759033203,4.375219345092773
