mode,load,0_resnet152-2,1_resnet18-16,2_vgg11-32
mps-uncap,0.8,32.464634783112395,1021.4569753997016,2072.6005053193785
mps-uncap,0.9,35.6291639620037,1134.6552782386702,2237.6513826262167
mps-uncap,1.0,41.31293846477721,1168.3345973973242,2276.052616303508
mps-uncap,0.5,19.7397680997319,638.4691754371755,1291.4611830719396
mps-uncap,0.6,23.964313833801736,773.797532372962,1531.5974695426728
mps-uncap,0.7,29.06124807412257,886.9936580799806,1799.0778480994277
mps-uncap,0.1,3.7412101134572344,127.29377475612398,243.52483167004803
mps-uncap,0.2,7.930045833248721,254.01839739310776,499.07007529647046
mps-uncap,0.3,11.643283476978215,382.2077450918041,760.749858049643
mps-uncap,0.4,17.168903587971407,500.8466099333811,989.4015505115041
