mode,load,0_resnet152-2,1_resnet18-16,2_vgg11-32
mps-uncap,0.8,12.937307357788086,2.4514198303222656,10.710000991821289
mps-uncap,0.9,13.08894157409668,2.577543258666992,11.022090911865234
mps-uncap,1.0,13.748407363891602,2.6540756225585938,11.129617691040039
mps-uncap,0.5,13.145923614501953,2.4259090423583984,10.607719421386719
mps-uncap,0.6,13.014793395996094,2.4194717407226562,10.634660720825195
mps-uncap,0.7,13.14091682434082,2.5107860565185547,10.657787322998047
mps-uncap,0.1,13.251781463623047,2.9036998748779297,10.901451110839844
mps-uncap,0.2,13.349056243896484,2.5811195373535156,10.856866836547852
mps-uncap,0.3,13.097524642944336,2.4559497833251953,10.5743408203125
mps-uncap,0.4,13.058900833129883,2.5157928466796875,10.550260543823242
