mode,load,0_squeezenet1_1-32,1_vgg11-8,2_vgg19-8
mps-uncap,0.8,129.957914352417,73.3330249786377,160.96854209899902
mps-uncap,0.9,98.39057922363281,126.02519989013672,146.18539810180664
mps-uncap,1.0,1029.8106670379639,684.0181350708008,760.8609199523926
mps-uncap,0.5,24.78194236755371,26.458263397216797,34.02352333068848
mps-uncap,0.6,28.13434600830078,34.00063514709473,40.00663757324219
mps-uncap,0.7,55.02510070800781,34.11579132080078,63.05861473083496
mps-uncap,0.1,2.7167797088623047,6.2046051025390625,7.548809051513672
mps-uncap,0.2,9.075164794921875,8.896350860595703,13.996362686157227
mps-uncap,0.3,9.743452072143555,9.715795516967773,23.57959747314453
mps-uncap,0.4,17.488718032836914,22.015810012817383,22.840023040771484
