mode,load,0_vgg11-32,1_vgg11-32
mig,0.1,0.019550323486328125,0.014543533325195312
mig,0.2,0.0152587890625,0.013589859008789062
mig,0.3,0.012874603271484375,0.013828277587890625
mig,0.4,0.012636184692382812,0.010967254638671875
mig,0.5,0.011682510375976562,0.012159347534179688
mig,0.6,0.01049041748046875,0.01239776611328125
mig,0.7,0.011205673217773438,0.012636184692382812
mig,0.8,0.012636184692382812,0.014066696166992188
mig,0.9,0.01239776611328125,0.018596649169921875
mig,1.0,0.0133514404296875,0.024080276489257812
