mode,load,0_efficientnet_b5-2,1_efficientnet_b5-2,2_efficientnet_b5-2,3_efficientnet_b5-2
mig,0.1,51.11551284790039,44.2197322845459,64.82148170471191,53.28965187072754
mig,0.2,59.33880805969238,61.88392639160156,60.75692176818848,61.28287315368652
mig,0.3,80.6741714477539,86.75575256347656,77.45790481567383,61.57374382019043
mig,0.4,146.33607864379883,140.34605026245117,124.53055381774902,96.02808952331543
mig,0.5,214.64180946350098,313.8747215270996,370.23258209228516,129.91571426391602
mig,0.6,1029.465913772583,3041.9600009918213,2608.4001064300537,159.5311164855957
mig,0.7,9777.375221252441,9483.329772949219,13158.064603805542,236.59443855285645
mig,0.8,15910.224914550781,17609.501361846924,16327.810525894165,415.82489013671875
mig,0.9,20974.54810142517,19948.94313812256,21629.510402679443,1843.5344696044922
mig,1.0,23575.944900512695,23735.81838607788,26344.26712989807,6863.173484802246
