mode,load,0_densenet161-8,1_densenet169-16,2_resnet18-4
mps-uncap,0.8,28.647899627685547,30.084609985351562,8.418083190917969
mps-uncap,0.9,28.679609298706055,25.645971298217773,8.434772491455078
mps-uncap,1.0,27.07982063293457,24.649381637573242,10.278463363647461
mps-uncap,0.5,27.595996856689453,29.538869857788086,7.819652557373047
mps-uncap,0.6,28.074264526367188,30.221939086914062,8.348464965820312
mps-uncap,0.7,25.03061294555664,30.785799026489258,9.005069732666016
mps-uncap,0.1,37.33038902282715,40.5428409576416,9.292125701904297
mps-uncap,0.2,31.710147857666016,32.88125991821289,9.129762649536133
mps-uncap,0.3,31.316280364990234,30.99679946899414,8.65793228149414
mps-uncap,0.4,29.44207191467285,27.35733985900879,9.176492691040039
