mode,load,0_efficientnet_b6-4,1_inception_v3-4,2_vgg11-32
mps-uncap,0.8,371.6466426849365,436.79237365722656,701.4141082763672
mps-uncap,0.9,526.054859161377,1535.8216762542725,1367.6700592041016
mps-uncap,1.0,718.2285785675049,3989.071846008301,7135.961532592773
mps-uncap,0.5,124.36532974243164,66.99538230895996,93.48440170288086
mps-uncap,0.6,150.38418769836426,129.39000129699707,93.82009506225586
mps-uncap,0.7,171.06246948242188,153.75852584838867,162.1417999267578
mps-uncap,0.1,49.956560134887695,39.9782657623291,44.50273513793945
mps-uncap,0.2,63.33184242248535,39.71076011657715,42.37699508666992
mps-uncap,0.3,73.1351375579834,46.135663986206055,47.952890396118164
mps-uncap,0.4,90.33417701721191,63.16184997558594,65.32597541809082
