mode,load,0_inception_v3-2,1_mobilenet_v3_large-16,2_vgg19-32
mps-uncap,0.8,0.06103515625,3.6725997924804688,22.729992866516113
mps-uncap,0.9,14.980196952819824,19.2716121673584,53.237199783325195
mps-uncap,1.0,97.10407257080078,315.352201461792,652.3241996765137
mps-uncap,0.5,0.05555152893066406,0.050187110900878906,0.06902217864990234
mps-uncap,0.6,0.055909156799316406,0.05340576171875,0.6719827651977539
mps-uncap,0.7,0.05745887756347656,0.053763389587402344,12.031793594360352
mps-uncap,0.1,0.060558319091796875,0.06091594696044922,0.06961822509765625
mps-uncap,0.2,0.060558319091796875,0.05841255187988281,0.057697296142578125
mps-uncap,0.3,0.06127357482910156,0.053882598876953125,0.06592273712158203
mps-uncap,0.4,0.06222724914550781,0.05650520324707031,0.061511993408203125
