mode,load,0_inception_v3-2,1_mobilenet_v3_large-16,2_vgg19-32
mps-uncap,0.8,4.929304122924805,2.866983413696289,20.291805267333984
mps-uncap,0.9,4.964351654052734,2.847909927368164,20.299434661865234
mps-uncap,1.0,4.945278167724609,2.9850006103515625,20.453214645385742
mps-uncap,0.5,5.014896392822266,2.9358863830566406,20.20430564880371
mps-uncap,0.6,4.976511001586914,2.880096435546875,20.212888717651367
mps-uncap,0.7,4.938364028930664,2.8650760650634766,20.205974578857422
mps-uncap,0.1,5.255222320556641,3.0393600463867188,20.1566219329834
mps-uncap,0.2,5.214691162109375,2.8638839721679688,20.123004913330078
mps-uncap,0.3,5.196809768676758,2.862691879272461,20.105838775634766
mps-uncap,0.4,5.031108856201172,2.8710365295410156,20.125627517700195
