mode,load,0_squeezenet1_0-16,1_densenet161-2,2_mobilenet_v3_large-2
mps-uncap,1.0,4.297733306884766,17.548561096191406,5.743503570556641
mig,1.0,6.685495376586914,17.040324211120605,5.068063735961914
