mode,load,0_squeezenet1_0-16,1_densenet161-2,2_mobilenet_v3_large-2
mps-uncap,1.0,3.551483154296875,16.405820846557617,4.871129989624023
mig,1.0,6.213188171386719,16.541242599487305,4.8809051513671875
