mode,load,0_squeezenet1_0-16,1_densenet161-2,2_mobilenet_v3_large-2
mps-uncap,1.0,3957.768330165814,116.5023861521802,372.9942183189317
mig,1.0,2473.3450893424824,119.06431773040516,400.850128844251
