mode,load,0_squeezenet1_0-16,1_densenet161-2,2_mobilenet_v3_large-2
mps-uncap,1.0,0.0069141387939453125,0.000476837158203125,0.015020370483398438
mig,1.0,0.0040531158447265625,0.000476837158203125,0.0057220458984375
