mode,load,0_alexnet-32,1_efficientnet_b5-16,2_squeezenet1_1-2
mps-uncap,0.8,11.50493621826172,98.40669631958009,11.565423011779789
mps-uncap,0.9,20.410847663879395,210.10966300964355,27.38058567047119
mps-uncap,1.0,63.9967441558838,375.49567222595215,163.71655464172363
mps-uncap,0.5,5.462408065795898,38.66147994995117,5.707311630249023
mps-uncap,0.6,6.578707695007324,46.277332305908196,6.629920005798341
mps-uncap,0.7,8.575963973999023,64.48307037353516,8.73570442199707
mps-uncap,0.1,2.886533737182617,24.20802116394043,2.9947280883789062
mps-uncap,0.2,3.525519371032716,24.636101722717285,3.4071922302246103
mps-uncap,0.3,3.9520263671875,29.132413864135742,3.8091182708740234
mps-uncap,0.4,4.486942291259765,33.47504138946534,4.5212507247924805
