mode,load,0_alexnet-32,1_efficientnet_b5-16,2_squeezenet1_1-2
mps-uncap,0.8,0.007867813110351562,0.010967254638671875,0.008106231689453125
mps-uncap,0.9,0.008106231689453125,0.011920928955078125,0.008344650268554688
mps-uncap,1.0,0.00858306884765625,0.013113021850585938,0.007152557373046875
mps-uncap,0.5,0.008106231689453125,0.012874603271484375,0.008106231689453125
mps-uncap,0.6,0.008344650268554688,0.010967254638671875,0.008344650268554688
mps-uncap,0.7,0.00858306884765625,0.012874603271484375,0.00858306884765625
mps-uncap,0.1,0.0095367431640625,0.026702880859375,0.011205673217773438
mps-uncap,0.2,0.010251998901367188,0.019788742065429688,0.008344650268554688
mps-uncap,0.3,0.010251998901367188,0.013113021850585938,0.008821487426757812
mps-uncap,0.4,0.007867813110351562,0.01239776611328125,0.009298324584960938
