mode,load,0_alexnet-32,1_efficientnet_b5-16,2_squeezenet1_1-2
mps-uncap,0.8,7480.269714682339,481.37280036543103,444.08267911517794
mps-uncap,0.9,8696.702416786171,565.1828886566545,505.7235512954045
mps-uncap,1.0,9467.302183612555,577.7248432409614,566.0636001435513
mps-uncap,0.5,4817.058079929623,297.61962422240964,281.4180763224411
mps-uncap,0.6,5677.289919188082,353.9676108299119,329.5737714623019
mps-uncap,0.7,6672.423559570195,419.5456837440064,388.41710588220894
mps-uncap,0.1,966.8766527370719,53.92826842369832,57.692699298727916
mps-uncap,0.2,1879.5173351806914,119.82781404540029,112.23211914282442
mps-uncap,0.3,2883.4348779706875,171.12960582635864,165.3689469343865
mps-uncap,0.4,3790.1219999160517,256.30504257582703,223.06699143653572
