mode,load,0_alexnet-32,1_efficientnet_b5-16,2_squeezenet1_1-2
mps-uncap,0.8,4.331827163696289,28.263330459594727,7.252693176269531
mps-uncap,0.9,5.0754547119140625,29.271364212036133,7.491588592529297
mps-uncap,1.0,4.610776901245117,28.500795364379883,6.9427490234375
mps-uncap,0.5,4.286289215087891,26.296377182006836,6.660223007202148
mps-uncap,0.6,4.801511764526367,27.22477912902832,6.896734237670898
mps-uncap,0.7,4.482746124267578,27.90975570678711,7.190942764282227
mps-uncap,0.1,4.338502883911133,25.05207061767578,5.694150924682617
mps-uncap,0.2,4.938364028930664,25.31719207763672,6.789922714233398
mps-uncap,0.3,4.199028015136719,24.826765060424805,6.483316421508789
mps-uncap,0.4,4.286766052246094,24.73759651184082,6.950139999389648
