mode,load,0_alexnet-32,1_efficientnet_b5-16,2_squeezenet1_1-2
mps-uncap,0.8,3.6687850952148438,26.411890983581543,4.494690895080566
mps-uncap,0.9,3.777790069580078,27.432727813720703,4.971742630004883
mps-uncap,1.0,3.9843559265136714,26.967287063598633,4.952192306518555
mps-uncap,0.5,3.2881975173950195,22.3691463470459,3.6123275756835938
mps-uncap,0.6,3.390812873840332,23.708248138427734,3.8475990295410156
mps-uncap,0.7,3.5485744476318355,25.49586296081543,4.175519943237306
mps-uncap,0.1,2.352476119995117,23.56250286102295,2.8502464294433594
mps-uncap,0.2,2.7824401855468754,22.62885570526123,2.676057815551758
mps-uncap,0.3,2.9851913452148438,21.288108825683594,2.727031707763672
mps-uncap,0.4,3.199434280395508,20.958542823791504,3.2701492309570312
