mode,load,0_squeezenet1_0-32,1_mobilenet_v2-8,2_vgg13-2
mps-uncap,1.0,10.93639612197876,10.809769630432129,7.825458049774172
mig,1.0,15.466766357421877,5.794882774353027,6.116604804992674
