mode,load,0_squeezenet1_0-32,1_mobilenet_v2-8,2_vgg13-2
mps-uncap,1.0,3179.5328789488635,803.894904603067,395.6348254903241
mig,1.0,2422.224685489441,1542.9766864185578,342.15504142827155
