mode,load,0_squeezenet1_0-32,1_mobilenet_v2-8,2_vgg13-2
mps-uncap,1.0,20.04837989807129,20.577669143676758,18.72873306274414
mig,1.0,22.469282150268555,13.888835906982422,14.174222946166992
