mode,load,0_squeezenet1_0-32,1_mobilenet_v2-8,2_vgg13-2
mps-uncap,1.0,0.000476837158203125,0.0007152557373046875,0.0021457672119140625
mig,1.0,0.0054836273193359375,0.000476837158203125,0.0040531158447265625
