mode,load,0_mobilenet_v2-4,1_resnet50-8,2_squeezenet1_1-16
mps-uncap,0.8,845.4477785336998,848.1258528951349,3326.1631773273393
mps-uncap,0.9,952.9748384795636,981.0904048734086,3867.259507328911
mps-uncap,1.0,1064.701932331342,1072.304411301721,4107.981008801331
mps-uncap,0.5,530.7293095174427,529.5140819511165,2119.7018593882526
mps-uncap,0.6,635.5053693095526,630.2458779101825,2568.8367839293064
mps-uncap,0.7,738.4159650609946,733.0647619083983,2852.7230055389205
mps-uncap,0.1,109.64550076637536,109.86775388624154,443.04530436376587
mps-uncap,0.2,204.01147737078352,215.1021008401543,852.7781873362758
mps-uncap,0.3,318.0189393972091,313.58355564467524,1270.188258154001
mps-uncap,0.4,434.66922614605244,419.2567324565966,1693.111327277958
