mode,load,0_mobilenet_v2-4,1_resnet50-8,2_squeezenet1_1-16
mps-uncap,0.8,45.734405517578125,59.2808723449707,42.363643646240234
mps-uncap,0.9,90.59548377990723,139.085054397583,89.5848274230957
mps-uncap,1.0,224.78723526000977,239.89319801330566,149.0797996520996
mps-uncap,0.5,26.329994201660156,34.35969352722168,11.863470077514648
mps-uncap,0.6,19.613027572631836,25.805950164794922,20.697832107543945
mps-uncap,0.7,22.422075271606445,42.83547401428223,23.342132568359375
mps-uncap,0.1,15.397787094116211,12.17961311340332,4.689931869506836
mps-uncap,0.2,24.181127548217773,17.55499839782715,6.178379058837891
mps-uncap,0.3,20.887374877929688,18.821001052856445,8.420228958129883
mps-uncap,0.4,23.7734317779541,18.943309783935547,9.91058349609375
