mode,load,0_resnet34-32,1_densenet161-2,2_vgg16-2
mps-uncap,1.0,2666.6498041679474,82.63166278762567,428.8873664297766
mig,1.0,2192.6925418529636,120.21315922321955,294.3825667923029
