mode,load,0_resnet152-8,1_resnet152-8
mig,0.1,0.012636184692382812,0.011682510375976562
mig,0.2,0.012159347534179688,0.011682510375976562
mig,0.3,0.011682510375976562,0.011682510375976562
mig,0.4,0.011682510375976562,0.011205673217773438
mig,0.5,0.010013580322265625,0.011920928955078125
mig,0.6,0.010251998901367188,0.010251998901367188
mig,0.7,0.011682510375976562,0.011682510375976562
mig,0.8,0.010013580322265625,0.011444091796875
mig,0.9,0.012159347534179688,0.011682510375976562
mig,1.0,0.0152587890625,0.0152587890625
