mode,load,0_efficientnet_b5-8,1_efficientnet_b5-8
mig,0.1,62.135993563308894,54.78981183014889
mig,0.2,108.56732084809158,112.98237647320055
mig,0.3,173.3973211092959,170.37393401709318
mig,0.4,222.29737407661932,224.72597822759886
mig,0.5,275.2002806115865,282.39712351294116
mig,0.6,335.06786238604224,344.18319671500564
mig,0.7,384.2780115083598,374.4749083263391
mig,0.8,453.44407594202966,447.29208218965493
mig,0.9,506.796566208505,466.12494831185955
mig,1.0,509.1836324871154,466.4816771600073
