mode,load,0_efficientnet_b7-16,1_resnet152-2,2_resnet152-8
mps-uncap,0.8,329.55138556500583,73.5688790477482,219.61220712422585
mps-uncap,0.9,360.972510114171,85.38957576070821,247.48451239680904
mps-uncap,1.0,410.3305526317834,94.37933869421623,284.9878998635077
mps-uncap,0.5,203.8723102212698,46.35846764818784,148.01217380770456
mps-uncap,0.6,251.6111240140824,56.149263369062886,169.35466784805294
mps-uncap,0.7,301.06710250453773,66.32752904259561,200.0686325014662
mps-uncap,0.1,35.39131997689991,10.164796081287392,27.1646847012435
mps-uncap,0.2,84.46427325596531,18.774863640932363,57.56592519393733
mps-uncap,0.3,127.09681265825422,27.29270566086473,85.6144462160003
mps-uncap,0.4,168.76295504965466,37.64807644223253,116.39324455759089
