mode,load,0_densenet121-32,1_mobilenet_v3_large-16,2_mobilenet_v3_large-2
mps-uncap,0.8,14.870285987854004,2.773761749267578,2.5011301040649414
mps-uncap,0.9,47.32060432434082,6.521344184875488,10.369300842285156
mps-uncap,1.0,226.28092765808105,46.98145389556885,34.558773040771484
mps-uncap,0.5,0.055789947509765625,0.045299530029296875,0.049591064453125
mps-uncap,0.6,0.0699758529663086,0.051975250244140625,0.5401372909545898
mps-uncap,0.7,10.167121887207031,1.280069351196289,1.33514404296875
mps-uncap,0.1,0.06365776062011719,0.05435943603515625,0.05054473876953125
mps-uncap,0.2,0.061511993408203125,0.05221366882324219,0.049114227294921875
mps-uncap,0.3,0.05936622619628906,0.05245208740234375,0.049114227294921875
mps-uncap,0.4,0.060677528381347656,0.04982948303222656,0.048160552978515625
