mode,load,0_densenet121-32,1_mobilenet_v3_large-16,2_mobilenet_v3_large-2
mps-uncap,0.8,1106.665581426467,1940.9241177609294,325.1447999076833
mps-uncap,0.9,1314.9970489371156,2228.937507747326,353.12241561835947
mps-uncap,1.0,1398.99393861331,2403.5011290073007,395.8211835496297
mps-uncap,0.5,689.860248266879,1176.966343291358,205.44368897178714
mps-uncap,0.6,838.8503342049255,1474.3237976124615,239.3326228205319
mps-uncap,0.7,1012.0993161721135,1701.4176815809863,279.24512806461775
mps-uncap,0.1,149.05446049078677,245.66170940446995,39.155892531406955
mps-uncap,0.2,288.11230527717373,495.1933899275911,81.34857585739198
mps-uncap,0.3,426.94639379729296,715.9882247919895,121.34660339983233
mps-uncap,0.4,571.21732144949,985.6818412435206,165.077733744463
