mode,load,0_densenet121-32,1_mobilenet_v3_large-16,2_mobilenet_v3_large-2
mps-uncap,0.8,22.60875701904297,10.498285293579102,9.551525115966797
mps-uncap,0.9,23.644685745239258,10.115623474121094,10.117530822753906
mps-uncap,1.0,23.709535598754883,10.577917098999023,10.639667510986328
mps-uncap,0.5,22.76301383972168,10.848045349121094,10.474205017089844
mps-uncap,0.6,22.670269012451172,10.67495346069336,10.199785232543945
mps-uncap,0.7,24.19304847717285,10.90383529663086,10.176658630371094
mps-uncap,0.1,19.485950469970703,10.620355606079102,10.034561157226562
mps-uncap,0.2,20.227670669555664,10.90860366821289,10.95724105834961
mps-uncap,0.3,21.563291549682617,10.792255401611328,11.129379272460938
mps-uncap,0.4,21.806001663208008,11.318445205688477,10.552644729614258
