mode,load,0_densenet201-4,1_mobilenet_v3_large-16,2_squeezenet1_0-32
mps-uncap,0.8,110.78588962554937,43.3802604675293,92.71893501281734
mps-uncap,0.9,1092.28515625,168.11323165893555,782.6307773590088
mps-uncap,1.0,1663.1691455841064,787.3512744903564,9234.831643104553
mps-uncap,0.5,47.737646102905266,14.906311035156255,18.895864486694336
mps-uncap,0.6,57.86271095275881,18.80347728729248,24.125194549560558
mps-uncap,0.7,89.82219696044923,26.59165859222412,43.56265068054199
mps-uncap,0.1,38.53189945220947,13.898801803588858,12.828397750854494
mps-uncap,0.2,37.02380657196045,16.118645668029785,13.887810707092285
mps-uncap,0.3,36.40286922454834,16.333580017089844,14.897251129150392
mps-uncap,0.4,39.36901092529297,15.56053161621094,16.659832000732425
