mode,load,0_densenet201-4,1_mobilenet_v3_large-16,2_squeezenet1_0-32
mps-uncap,0.8,29.62958812713623,8.671045303344727,8.427143096923828
mps-uncap,0.9,41.60904884338379,9.380817413330078,8.30984115600586
mps-uncap,1.0,37.541866302490234,8.981704711914062,9.025216102600098
mps-uncap,0.5,22.853851318359375,6.836414337158203,7.274627685546875
mps-uncap,0.6,24.257540702819824,7.432699203491211,7.391810417175293
mps-uncap,0.7,29.531002044677734,7.678031921386719,7.987022399902344
mps-uncap,0.1,24.045109748840332,10.986566543579102,8.660197257995605
mps-uncap,0.2,22.8346586227417,10.43844223022461,8.402228355407715
mps-uncap,0.3,22.417545318603516,8.80289077758789,7.737874984741211
mps-uncap,0.4,22.202491760253906,7.568836212158203,7.34400749206543
