mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-4
mig,0.1,14.76597785949707,14.948129653930664
mig,0.2,23.85401725769043,23.037195205688477
mig,0.3,23.463964462280273,24.464845657348633
mig,0.4,20.6146240234375,18.941640853881836
mig,0.5,20.197629928588867,18.049240112304688
mig,0.6,20.935773849487305,23.354768753051758
mig,0.7,30.753135681152344,29.578685760498047
mig,0.8,26.931047439575195,50.6742000579834
mig,0.9,71.03323936462402,64.89801406860352
mig,1.0,642.1022415161133,484.9088191986084
