mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-4
mig,0.1,5.676746368408203,5.660772323608398
mig,0.2,5.403757095336914,5.574226379394531
mig,0.3,3.8869380950927734,3.8857460021972656
mig,0.4,2.554655075073242,2.8548240661621094
mig,0.5,2.427816390991211,2.4764537811279297
mig,0.6,2.376556396484375,2.3446083068847656
mig,0.7,2.3839473724365234,2.505064010620117
mig,0.8,2.396821975708008,2.378225326538086
mig,0.9,2.3908615112304688,2.3996829986572266
mig,1.0,2.3458003997802734,2.3508071899414062
