mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-4
mig,0.1,14.615178108215332,14.019739627838128
mig,0.2,18.406023979187005,18.589496612548814
mig,0.3,17.754943370819092,18.31733703613281
mig,0.4,15.043087005615229,15.20827293395996
mig,0.5,13.994083404541012,13.162415027618408
mig,0.6,13.041930198669432,14.17092084884644
mig,0.7,21.58074378967286,21.13953113555906
mig,0.8,23.046653270721453,27.514863014221135
mig,0.9,51.633796691894524,46.64976596832279
mig,1.0,624.0802288055419,469.9988269805908
