mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-4
mig,0.1,20.438432693481445,20.18141746520996
mig,0.2,27.575016021728516,27.267932891845703
mig,0.3,25.85148811340332,28.396129608154297
mig,0.4,22.969722747802734,22.028684616088867
mig,0.5,22.544384002685547,20.46346664428711
mig,0.6,23.243427276611328,25.63309669494629
mig,0.7,33.32781791687012,32.094478607177734
mig,0.8,29.293537139892578,52.995920181274414
mig,0.9,73.39835166931152,67.32344627380371
mig,1.0,644.4978713989258,487.26630210876465
