mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-4
mig,0.1,167.89321893879057,163.43611233891542
mig,0.2,339.28252170376425,333.6664547702557
mig,0.3,495.53466358068073,497.2189098614203
mig,0.4,669.4110486654926,661.4696094493661
mig,0.5,829.2312694092642,817.5287729206472
mig,0.6,997.0006634534706,976.7548174493126
mig,0.7,1182.4008276660409,1166.111451704994
mig,0.8,1356.4904340374947,1320.5856782864723
mig,0.9,1545.9879528765298,1509.6506415626268
mig,1.0,1693.2878431914928,1679.3674511386164
