mode,load,0_efficientnet_b5-8,1_vgg13-4,2_vgg19-8
mps-uncap,0.8,125.83625316619873,28.623819351196293,57.71431922912597
mps-uncap,0.9,518.3426380157471,106.13584518432617,573.0602741241455
mps-uncap,1.0,5787.202000617981,3153.4029245376587,3948.2444047927875
mps-uncap,0.5,41.20829105377198,9.232473373413093,18.240547180175785
mps-uncap,0.6,52.654385566711426,12.53061294555664,24.852609634399414
mps-uncap,0.7,71.43335342407225,17.65422821044922,35.576581954956055
mps-uncap,0.1,36.14022731781006,4.778623580932619,10.909414291381836
mps-uncap,0.2,32.406949996948235,6.419992446899415,11.743164062499998
mps-uncap,0.3,30.546236038208008,6.888818740844727,12.537002563476562
mps-uncap,0.4,33.77532958984375,7.714366912841798,15.150785446166992
