mode,load,0_densenet169-4,1_efficientnet_b7-32,2_efficientnet_b7-4
mps-uncap,0.8,44.846248626709,56.85417652130127,53.88751029968262
mps-uncap,0.9,44.61560249328614,58.28976631164551,51.680731773376465
mps-uncap,1.0,45.61467170715332,58.693838119506836,51.819586753845215
mps-uncap,0.5,39.28322792053223,55.70254325866699,49.28455352783203
mps-uncap,0.6,40.37876129150391,56.47327899932861,49.94642734527588
mps-uncap,0.7,43.000984191894524,56.237077713012695,52.14109420776367
mps-uncap,0.1,25.04887580871582,49.967288970947266,31.11565113067627
mps-uncap,0.2,27.162027359008793,51.938676834106445,33.094763755798354
mps-uncap,0.3,34.127545356750495,54.390573501586914,45.731306076049805
mps-uncap,0.4,38.41450214385986,54.02483940124512,48.91834259033203
