mode,load,0_densenet169-4,1_efficientnet_b7-32,2_efficientnet_b7-4
mps-uncap,0.8,10.042905807495117,48.15268516540527,12.601137161254883
mps-uncap,0.9,10.030269622802734,48.1877326965332,12.774467468261719
mps-uncap,1.0,10.017871856689453,48.650503158569336,13.82303237915039
mps-uncap,0.5,9.815692901611328,48.01678657531738,12.932062149047852
mps-uncap,0.6,10.036468505859375,48.1419563293457,12.942075729370117
mps-uncap,0.7,9.912967681884766,48.155784606933594,12.782812118530273
mps-uncap,0.1,10.290384292602539,48.02703857421875,12.955188751220703
mps-uncap,0.2,10.130167007446289,47.992706298828125,13.458967208862305
mps-uncap,0.3,10.053157806396484,48.10023307800293,12.788772583007812
mps-uncap,0.4,9.982824325561523,48.00701141357422,12.991905212402344
