mode,load,0_densenet169-4,1_efficientnet_b7-32,2_efficientnet_b7-4
mps-uncap,0.8,47.405619621276855,57.47447967529297,56.97208642959595
mps-uncap,0.9,46.746530532836914,58.89911651611328,53.75534772872925
mps-uncap,1.0,47.18780994415284,59.20175552368164,53.74086141586304
mps-uncap,0.5,44.96769905090331,57.56960868835449,52.550978660583496
mps-uncap,0.6,45.52155256271362,57.70483732223511,52.293479442596436
mps-uncap,0.7,46.60293102264404,56.80950164794922,55.78495264053345
mps-uncap,0.1,39.65001106262208,54.069375991821296,49.576425552368164
mps-uncap,0.2,39.46789741516113,54.3800950050354,49.468719959259026
mps-uncap,0.3,41.149659156799295,56.678123474121094,53.673052787780755
mps-uncap,0.4,44.18456077575683,55.77040672302246,53.56473922729493
