mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32,3_mobilenet_v3_large-32
mig,0.1,14.282703399658203,14.422893524169922,14.424800872802734,27.553915977478027
mig,0.2,14.271736145019531,14.41502571105957,14.420747756958008,27.5421142578125
mig,0.3,14.268636703491211,14.405965805053711,14.409303665161133,27.541399002075195
mig,0.4,14.274835586547852,14.412999153137207,14.415740966796875,27.56333351135254
mig,0.5,15.018701553344727,16.239643096923828,14.974594116210938,28.06687355041504
mig,0.6,20.824193954467773,19.356489181518555,19.746065139770508,33.795952796936035
mig,0.7,24.529695510864258,23.9717960357666,24.054527282714844,47.25348949432373
mig,0.8,33.41341018676758,29.880523681640625,31.298398971557617,55.86743354797363
mig,0.9,59.33833122253418,53.79986763000488,54.72207069396973,106.75048828125
mig,1.0,489.9320602416992,262.08674907684326,188.04574012756348,367.08152294158936
