mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32,3_mobilenet_v3_large-32
mig,0.1,0.05793571472167969,0.06103515625,0.05984306335449219,0.06103515625
mig,0.2,0.0553131103515625,0.05698204040527344,0.05817413330078125,0.06031990051269531
mig,0.3,0.0514984130859375,0.05459785461425781,0.05173683166503906,0.05793571472167969
mig,0.4,0.053882598876953125,0.05507469177246094,0.05614757537841797,0.05793571472167969
mig,0.5,0.7535219192504883,1.9049644470214844,0.3457069396972656,0.060558319091796875
mig,0.6,6.644487380981445,4.964113235473633,5.366086959838867,6.249547004699707
mig,0.7,10.367631912231445,9.647846221923828,9.688138961791992,19.72496509552002
mig,0.8,19.216299057006836,15.482664108276367,16.987085342407227,28.371572494506836
mig,0.9,45.10700702667236,39.41750526428223,40.37594795227051,79.2841911315918
mig,1.0,475.4835367202759,247.4648952484131,173.76232147216797,339.68043327331543
