mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32,3_mobilenet_v3_large-32
mig,0.1,228.80633073563956,227.72224989490036,223.95586598604794,125.17826225847433
mig,0.2,435.39330417699705,425.77231159456164,469.47178438448645,227.86873263889615
mig,0.3,696.6756289920588,673.2506382408068,670.9899517026091,327.4602822860112
mig,0.4,857.2572652323703,837.5072253280017,865.079124610746,446.6477853218702
mig,0.5,1130.6109596523204,1156.2070514111963,1138.0015551397623,552.7762434480904
mig,0.6,1354.310450403599,1317.409590846284,1337.1972391258903,676.1412264301395
mig,0.7,1520.907913190856,1519.026494487642,1502.471843309743,797.0959564454276
mig,0.8,1826.8299257657325,1777.059468845823,1774.9633183250342,900.8093803302792
mig,0.9,2000.9333175937174,1999.3357908052772,1962.2079789370991,1025.3228878259083
mig,1.0,2217.4508554473155,2170.200243836171,2148.243656528115,1123.4099516082063
