mode,load,0_alexnet-4,1_efficientnet_b6-32,2_resnet101-4
mps-uncap,0.8,0.009059906005859375,0.013113021850585938,0.009775161743164062
mps-uncap,0.9,0.010967254638671875,0.01621246337890625,0.011920928955078125
mps-uncap,1.0,0.011205673217773438,0.02002716064453125,0.011444091796875
mps-uncap,0.5,0.009298324584960938,0.011682510375976562,0.011444091796875
mps-uncap,0.6,0.009298324584960938,0.011920928955078125,0.011444091796875
mps-uncap,0.7,0.008821487426757812,0.011920928955078125,0.011444091796875
mps-uncap,0.1,0.011682510375976562,0.015735626220703125,0.012874603271484375
mps-uncap,0.2,0.01049041748046875,0.013113021850585938,0.012636184692382812
mps-uncap,0.3,0.011444091796875,0.011920928955078125,0.011920928955078125
mps-uncap,0.4,0.009298324584960938,0.012636184692382812,0.011920928955078125
