mode,load,0_efficientnet_b6-8,1_mobilenet_v3_large-4,2_resnet34-2
mps-uncap,0.8,375.68476776057116,780.9099692216802,497.00926960694125
mps-uncap,0.9,416.7894997250391,777.8583431566922,535.6032375475262
mps-uncap,1.0,442.8179284710933,804.4999627074865,498.02121422122445
mps-uncap,0.5,248.51092799942762,566.9046214978131,311.4424832744026
mps-uncap,0.6,289.59414600129384,670.9618432608698,379.69795563363795
mps-uncap,0.7,346.19360252792615,765.6271464631333,428.6282632782354
mps-uncap,0.1,49.669632415534686,112.16661918744991,60.708716104854766
mps-uncap,0.2,99.68621921598951,219.11662921223586,121.6846187783242
mps-uncap,0.3,141.72428196682904,334.8977341110623,182.2191181991713
mps-uncap,0.4,197.35330575383807,445.43028824581717,249.8614385702007
