mode,load,0_efficientnet_b6-8,1_mobilenet_v3_large-4,2_resnet34-2
mps-uncap,0.8,18.76997947692871,5.613231658935547,4.403591156005859
mps-uncap,0.9,18.425321578979496,5.618906021118164,4.4643402099609375
mps-uncap,1.0,18.895339965820312,5.167484283447266,5.322837829589844
mps-uncap,0.5,19.1314697265625,5.318164825439453,4.97751235961914
mps-uncap,0.6,19.092082977294922,5.285978317260742,5.0425052642822275
mps-uncap,0.7,18.49989891052246,5.719184875488281,5.305767059326172
mps-uncap,0.1,31.85286521911621,11.482000350952148,8.125138282775879
mps-uncap,0.2,20.827126502990726,9.485721588134767,7.5852155685424805
mps-uncap,0.3,19.904613494873047,6.852507591247559,6.006050109863281
mps-uncap,0.4,19.50991153717041,5.7724714279174805,4.517316818237305
