mode,load,0_efficientnet_b6-8,1_mobilenet_v3_large-4,2_resnet34-2
mps-uncap,0.8,17.253637313842773,4.77147102355957,3.3369064331054688
mps-uncap,0.9,17.206668853759766,4.797697067260742,3.3600330352783203
mps-uncap,1.0,17.353534698486328,4.765033721923828,3.3540725708007812
mps-uncap,0.5,17.214536666870117,4.733562469482422,3.3528804779052734
mps-uncap,0.6,17.33565330505371,4.80198860168457,3.2989978790283203
mps-uncap,0.7,17.224550247192383,4.843950271606445,3.3893585205078125
mps-uncap,0.1,17.47298240661621,4.753828048706055,3.4608840942382812
mps-uncap,0.2,17.360687255859375,4.860639572143555,3.354787826538086
mps-uncap,0.3,16.926288604736328,4.700422286987305,3.343343734741211
mps-uncap,0.4,17.581462860107422,4.778385162353516,3.383159637451172
