mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,20.975828170776367,140.2292251586914,30.556440353393555
mig,0.6,46.99087142944336,142.74168014526367,25.662660598754883
mps-uncap,0.7,24.734973907470703,237.21075057983398,40.307044982910156
mig,0.7,53.30657958984375,198.49395751953125,38.280487060546875
mps-uncap,0.8,29.59609031677246,268.1317329406738,160.44235229492188
mig,0.8,79.05244827270508,214.6146297454834,63.76194953918457
mps-uncap,0.9,37.16468811035156,424.102783203125,3327.995538711548
mig,0.9,126.09577178955078,316.3485527038574,223.35433959960938
mps-uncap,1.0,48.70271682739258,2601.1297702789307,11975.47960281372
mig,1.0,554.344892501831,839.4262790679932,1019.6106433868408
mps-uncap,1.1,62.886953353881836,10516.302824020386,20521.209239959717
mig,1.1,6770.567417144775,6674.9303340911865,5876.150369644165
mps-uncap,1.2,99.7617244720459,18760.873079299927,29188.942193984985
mig,1.2,14593.197345733643,12701.691389083862,12334.399938583374
mps-uncap,1.3,149.54757690429688,23941.736459732056,35955.5230140686
mig,1.3,19424.433708190918,20163.159608840942,19810.843229293823
