mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,0.011444091796875,0.014543533325195312,0.010728836059570312
mig,0.6,0.010967254638671875,0.01430511474609375,0.011920928955078125
mps-uncap,0.7,0.011205673217773438,0.014543533325195312,0.010967254638671875
mig,0.7,0.011444091796875,0.015020370483398438,0.01049041748046875
mps-uncap,0.8,0.011682510375976562,0.012159347534179688,0.010728836059570312
mig,0.8,0.010967254638671875,0.014066696166992188,0.011205673217773438
mps-uncap,0.9,0.011920928955078125,0.014543533325195312,0.013113021850585938
mig,0.9,0.011682510375976562,0.014543533325195312,0.011444091796875
mps-uncap,1.0,0.011444091796875,0.017642974853515625,0.013589859008789062
mig,1.0,0.0133514404296875,0.014543533325195312,0.011205673217773438
mps-uncap,1.1,0.011205673217773438,0.019788742065429688,0.014066696166992188
mig,1.1,0.013828277587890625,0.019788742065429688,0.013828277587890625
mps-uncap,1.2,0.011205673217773438,0.015497207641601562,0.013589859008789062
mig,1.2,0.013828277587890625,0.05936622619628906,0.013828277587890625
mps-uncap,1.3,0.011205673217773438,0.05030632019042969,0.014543533325195312
mig,1.3,0.013113021850585938,0.015735626220703125,0.01430511474609375
