mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,3.3115148544311523,41.36047363281251,5.934953689575195
mig,0.6,10.090970993041994,35.38546562194826,5.999445915222168
mps-uncap,0.7,4.853725433349609,60.15892028808594,12.756633758544922
mig,0.7,13.746023178100586,52.246379852294915,8.485436439514165
mps-uncap,0.8,5.928277969360352,113.77069950103761,33.75496864318849
mig,0.8,23.31395149230957,68.56269836425781,13.376474380493164
mps-uncap,0.9,6.562900543212895,243.99871826171892,3036.563754081726
mig,0.9,51.951265335083,176.216459274292,85.80131530761724
mps-uncap,1.0,9.006977081298828,2188.8231039047246,10945.599889755249
mig,1.0,332.05938339233404,471.43871784210216,785.5291128158568
mps-uncap,1.1,14.317035675048833,9836.690449714662,18558.16035270691
mig,1.1,6124.067306518555,6120.177984237671,5504.412937164307
mps-uncap,1.2,25.509691238403324,16961.114263534546,26425.592184066776
mig,1.2,13245.389032363892,11759.12160873413,11222.914743423462
mps-uncap,1.3,54.632782936096206,21649.44362640381,32334.290790557865
mig,1.3,17376.676034927368,18029.389286041263,17599.504947662354
