mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,8.072221279144294,82.30957031249999,13.300991058349625
mig,0.6,23.636703491210948,71.62663459777842,12.767887115478494
mps-uncap,0.7,11.116876602172852,121.6198253631591,24.92332458496088
mig,0.7,25.828599929809577,115.0648021697997,18.361432552337547
mps-uncap,0.8,13.170838356018066,189.0797853469845,121.69520854949945
mig,0.8,45.28793334960937,142.76467800140384,31.855797767639263
mps-uncap,0.9,15.13225555419921,345.19420623779297,3268.990042209625
mig,0.9,93.07964801788324,256.30192756652775,168.1522059440613
mps-uncap,1.0,19.00992393493651,2465.859816074372,11835.995955467224
mig,1.0,502.5152063369758,658.6655855178833,978.4291982650757
mps-uncap,1.1,34.18135643005375,10408.583548069,20336.20080947876
mig,1.1,6658.141374588013,6601.523580551147,5801.766691207886
mps-uncap,1.2,71.8941116333008,18581.916608810425,28952.37458229065
mig,1.2,14439.31715965271,12613.813166618347,12228.665900230408
mps-uncap,1.3,108.91101598739624,23604.066514968876,35585.64419746399
mig,1.3,19216.741127967834,19846.241760253906,19592.259097099304
