mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,4.020690917968752,20.158996582031246,3.569173812866212
mig,0.6,4.862513542175293,19.098911285400398,2.6849269866943346
mps-uncap,0.7,3.9920711517333998,19.74231719970703,3.610267639160156
mig,0.7,4.860544204711914,19.15865898132324,2.6738595962524405
mps-uncap,0.8,4.0389299392700195,20.05372285842895,3.6407136917114244
mig,0.8,4.849228858947754,18.895153999328613,2.6459693908691406
mps-uncap,0.9,3.8802576065063477,19.69554901123047,3.5219407081603995
mig,0.9,4.726543426513671,18.55153083801269,2.4986958503723145
mps-uncap,1.0,3.694939613342283,19.463305473327637,3.3376383781433105
mig,1.0,4.497528076171875,18.23717594146729,2.260544300079345
mps-uncap,1.1,3.4760761260986333,19.85523462295532,3.1655406951904292
mig,1.1,4.472017288208008,18.252043724060055,2.2122859954833984
mps-uncap,1.2,3.4984207153320317,19.979939460754395,3.2215118408203125
mig,1.2,4.477748870849609,18.12551975250244,2.2152948379516606
mps-uncap,1.3,3.50189208984375,19.941377639770508,3.2360839843750004
mig,1.3,4.694352149963381,18.421306610107422,2.506399154663091
