mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,2.0380020141601562,17.209768295288086,1.7292499542236328
mig,0.6,4.054546356201172,16.971349716186523,1.7819404602050781
mps-uncap,0.7,2.0384788513183594,16.940832138061523,1.695871353149414
mig,0.7,4.047155380249023,17.278671264648438,1.7478466033935547
mps-uncap,0.8,2.039670944213867,17.4715518951416,1.689910888671875
mig,0.8,4.055976867675781,17.27747917175293,1.7614364624023438
mps-uncap,0.9,2.413034439086914,17.266273498535156,1.966238021850586
mig,0.9,4.052162170410156,17.172813415527344,1.7802715301513672
mps-uncap,1.0,2.5167465209960938,17.525434494018555,3.195047378540039
mig,1.0,4.071712493896484,17.111778259277344,1.7745494842529297
mps-uncap,1.1,2.5529861450195312,18.759965896606445,1.8312931060791016
mig,1.1,4.348278045654297,18.183469772338867,1.837015151977539
mps-uncap,1.2,2.572298049926758,18.1732177734375,2.5358200073242188
mig,1.2,4.094362258911133,22.159814834594727,2.2156238555908203
mps-uncap,1.3,2.573251724243164,25.115251541137695,2.1102428436279297
mig,1.3,4.3926239013671875,17.800569534301758,2.177000045776367
