mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,2.016305923461914,17.16303825378418,1.7054080963134766
mig,0.6,4.030466079711914,16.855478286743164,1.753091812133789
mps-uncap,0.7,2.0189285278320312,16.835927963256836,1.6665458679199219
mig,0.7,4.023313522338867,17.19045639038086,1.7282962799072266
mps-uncap,0.8,2.0215511322021484,17.279624938964844,1.6620159149169922
mig,0.8,4.029035568237305,17.09294319152832,1.7321109771728516
mps-uncap,0.9,2.3980140686035156,17.00305938720703,1.6684532165527344
mig,0.9,4.030466079711914,17.097949981689453,1.733541488647461
mps-uncap,1.0,2.4776458740234375,16.939878463745117,1.6565322875976562
mig,1.0,4.032611846923828,16.973257064819336,1.739501953125
mps-uncap,1.1,2.5162696838378906,17.106294631958008,1.6813278198242188
mig,1.1,4.049062728881836,17.08841323852539,1.7671585083007812
mps-uncap,1.2,2.294778823852539,17.17090606689453,1.6639232635498047
mig,1.2,4.030704498291016,17.02094078063965,1.7323493957519531
mps-uncap,1.3,2.3849010467529297,17.07005500793457,1.6913414001464844
mig,1.3,4.026651382446289,17.011642456054688,1.7316341400146484
