mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,0.018358230590820312,8.912801742553711,1.2989044189453125
mig,0.6,2.0287036895751953,6.164312362670898,1.3595819473266602
mps-uncap,0.7,0.0743865966796875,14.505386352539062,3.140687942504883
mig,0.7,3.4873485565185547,13.485193252563477,1.976609230041504
mps-uncap,0.8,0.8249282836914062,31.966805458068848,9.883761405944824
mig,0.8,5.511283874511719,17.73667335510254,3.1495094299316406
mps-uncap,0.9,1.3263225555419922,74.53083992004395,2548.8308668136597
mig,0.9,11.573553085327148,54.25310134887695,6.35683536529541
mps-uncap,1.0,2.208709716796875,948.10950756073,6808.791637420654
mig,1.0,93.45221519470215,200.57260990142822,36.35549545288086
mps-uncap,1.1,3.238677978515625,5130.08987903595,10916.104316711426
mig,1.1,3133.063554763794,4046.335220336914,2336.106300354004
mps-uncap,1.2,6.008267402648926,9465.049266815186,15358.908295631409
mig,1.2,7085.213422775269,6733.371019363403,5490.34857749939
mps-uncap,1.3,11.7264986038208,11564.039945602417,18611.133337020874
mig,1.3,9021.40760421753,10077.753782272339,8125.1280307769775
