mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,11.052560806274432,100.35882949829094,15.60268402099615
mig,0.6,28.006639480590852,89.27581310272234,14.954364299774152
mps-uncap,0.7,14.370403289794924,138.7580108642577,27.077493667602536
mig,0.7,30.27286529541016,132.41127014160145,20.493526458740188
mps-uncap,0.8,16.291499137878418,207.8947329521176,124.15081501007056
mig,0.8,49.43055629730217,161.49212837219255,33.87820720672613
mps-uncap,0.9,18.128080368041992,363.69839668273937,3270.845255851745
mig,0.9,97.33396530151364,273.90316009521445,170.21540880203247
mps-uncap,1.0,22.2126007080078,2483.895163536072,11838.159976005554
mig,1.0,506.76709651947084,675.9036993980409,980.2250051498412
mps-uncap,1.1,37.25504398345948,10426.88642501831,20338.833723068237
mig,1.1,6662.1994972229,6618.8459634780875,5803.598766326904
mps-uncap,1.2,75.12771606445314,18600.039501190186,28954.510519504547
mig,1.2,14443.392362594604,12631.048755645752,12230.449328422546
mps-uncap,1.3,112.03068017959593,23621.62775993347,35587.81774520874
mig,1.3,19220.810828208923,19863.70008468628,19594.16105747223
