mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,283.8013161109177,68.73331260531754,1231.815941112236
mig,0.6,289.8656244432126,66.71867040867042,1266.4409063793057
mps-uncap,0.7,332.5340272196943,80.56237399415974,1496.691527085844
mig,0.7,339.1397656806646,79.24714990705289,1474.7542563384495
mps-uncap,0.8,381.8865060525477,90.82458126433976,1690.1600414498225
mig,0.8,376.75300026889045,89.04721275964117,1665.9190259083064
mps-uncap,0.9,427.11961904817434,100.50188611958178,1845.933126822307
mig,0.9,433.25954092032293,103.1432916689408,1915.4927503059885
mps-uncap,1.0,480.34038691022363,110.47590348111073,1811.4604129459751
mig,1.0,479.206217274828,111.4462552513398,2103.305181416833
mps-uncap,1.1,529.8963505414685,108.91105057224094,1758.1704233454855
mig,1.1,485.44064866334156,115.2171217920686,2158.666971235258
mps-uncap,1.2,581.6727832301287,107.5970377520713,1695.2316182518205
mig,1.2,485.1175237347823,115.61257772685337,2163.994610603107
mps-uncap,1.3,616.9249408702393,107.63355995312784,1635.4942742725611
mig,1.3,480.1170741515557,114.88038418926567,2098.3236286181746
