mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,17.618656158447266,122.21479415893555,27.776002883911133
mig,0.6,42.30237007141113,125.35929679870605,23.36430549621582
mps-uncap,0.7,20.88785171508789,219.893217086792,38.60306739807129
mig,0.7,48.76899719238281,180.62186241149902,36.232948303222656
mps-uncap,0.8,26.592016220092773,249.57656860351562,158.64276885986328
mig,0.8,74.75399971008301,196.08116149902344,61.34915351867676
mps-uncap,0.9,34.16728973388672,406.30197525024414,3326.122045516968
mig,0.9,121.73032760620117,298.7329959869385,221.56119346618652
mps-uncap,1.0,45.42112350463867,2582.458734512329,11972.816467285156
mig,1.0,549.9494075775146,822.1879005432129,1017.1589851379395
mps-uncap,1.1,59.725046157836914,10498.865365982056,20518.537044525146
mig,1.1,6765.915632247925,6657.75990486145,5872.747898101807
mps-uncap,1.2,96.70090675354004,18741.675853729248,29168.450832366943
mig,1.2,14586.421489715576,12684.45372581482,12326.98392868042
mps-uncap,1.3,146.3315486907959,23921.44799232483,35936.16437911987
mig,1.3,19414.55054283142,20145.548105239868,19793.52593421936
