mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,6.406426429748535,59.54332351684571,8.188247680664062
mig,0.6,14.45121765136719,52.750825881958015,8.141040802001953
mps-uncap,0.7,7.934093475341799,77.95062065124512,14.985418319702147
mig,0.7,18.029212951660156,70.1158046722412,10.56218147277832
mps-uncap,0.8,9.081363677978516,132.03377723693848,35.98158359527588
mig,0.8,27.522897720336914,86.07301712036131,15.410900115966797
mps-uncap,0.9,9.552145004272473,262.4473571777346,3038.5830402374268
mig,0.9,56.09869956970213,193.6389446258545,87.81099319458008
mps-uncap,1.0,11.934041976928711,2206.8252563476562,10947.592926025392
mig,1.0,336.2078189849854,488.7837648391724,787.3322010040281
mps-uncap,1.1,17.313718795776367,9855.54361343384,18560.689592361454
mig,1.1,6128.146171569824,6137.408542633057,5506.22992515564
mps-uncap,1.2,28.529882431030295,16979.763078689575,26427.521777153015
mig,1.2,13249.457597732544,11776.289701461792,11224.72095489502
mps-uncap,1.3,57.64977931976321,21668.20240020752,32336.814498901367
mig,1.3,17380.98530769348,18046.923160552982,17601.561498641968
