mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,15.434980392456055,24.26934242248535,16.12997055053711
mig,0.6,16.515493392944336,29.52289581298828,8.855104446411133
mps-uncap,0.7,11.69586181640625,23.505687713623047,5.820035934448242
mig,0.7,16.93582534790039,30.97391128540039,15.039682388305664
mps-uncap,0.8,14.51420783996582,26.612281799316406,14.640331268310547
mig,0.8,18.14126968383789,22.93539047241211,13.121604919433594
mps-uncap,0.9,13.836145401000977,27.637004852294922,10.065555572509766
mig,0.9,16.66259765625,20.367145538330078,9.615898132324219
mps-uncap,1.0,17.377853393554688,25.954008102416992,9.284257888793945
mig,1.0,10.66279411315918,25.08068084716797,12.89677619934082
mps-uncap,1.1,14.501810073852539,26.099681854248047,16.749143600463867
mig,1.1,5.559682846069336,21.199941635131836,5.621433258056641
mps-uncap,1.2,16.559600830078125,29.388904571533203,21.038532257080078
mig,1.2,11.957883834838867,25.594711303710938,12.000560760498047
mps-uncap,1.3,16.698122024536133,31.28337860107422,19.35863494873047
mig,1.3,12.720346450805664,28.238773345947266,17.31729507446289
