mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,0.6,3.24404239654541,26.918411254882812,3.383636474609375
mig,0.6,6.334781646728516,23.60224723815918,3.458261489868164
mps-uncap,0.7,3.599405288696289,32.34267234802246,5.354404449462891
mig,0.7,7.754325866699219,31.183481216430664,4.059314727783203
mps-uncap,0.8,3.910064697265625,50.2246618270874,12.083292007446289
mig,0.8,9.739875793457031,35.427093505859375,5.10716438293457
mps-uncap,0.9,4.271507263183594,92.32568740844727,2550.719738006592
mig,0.9,15.719890594482422,71.84123992919922,8.231043815612793
mps-uncap,1.0,5.122184753417969,965.8044576644897,6811.466813087463
mig,1.0,97.61643409729004,217.82851219177246,38.192152976989746
mps-uncap,1.1,6.176948547363281,5148.962736129761,10919.387102127075
mig,1.1,3137.538194656372,4064.112424850464,2337.9428386688232
mps-uncap,1.2,8.939266204833984,9483.840942382812,15361.74738407135
mig,1.2,7089.536905288696,6750.7288455963135,5492.394924163818
mps-uncap,1.3,14.69874382019043,11582.916498184204,18613.52825164795
mig,1.3,9025.710105895996,10095.287322998047,8126.953125
